time,cart_x,angle,force,cart_vx,angle_vel
0.015000104904174805,180,3.141592653589793,0,0.0,0.0
0.03099989891052246,180,3.141592653589793,0,0.0,0.0
0.046000003814697266,180,3.141592653589793,0,0.0,0.0
0.06100010871887207,180,3.141592653589793,0,0.0,0.0
0.07599997520446777,180,3.141592653589793,0,0.0,0.0
0.09200000762939453,180,3.141592653589793,0,0.0,0.0
0.10800004005432129,180,3.141592653589793,0,0.0,0.0
0.12400007247924805,180,3.141592653589793,0,0.0,0.0
0.1400001049041748,180,3.141592653589793,0,0.0,0.0
0.15599989891052246,180,3.141592653589793,0,0.0,0.0
0.17199993133544922,180,3.141592653589793,0,0.0,0.0
0.18600010871887207,180,3.141592653589793,0,0.0,0.0
0.20099997520446777,180,3.141592653589793,0,0.0,0.0
0.21700000762939453,180,3.141592653589793,0,0.0,0.0
0.23200011253356934,180,3.141592653589793,0,0.0,0.0
0.24699997901916504,180,3.141592653589793,0,0.0,0.0
0.2630000114440918,180,3.141592653589793,0,0.0,0.0
0.27900004386901855,180,3.141592653589793,0,0.0,0.0
0.29399991035461426,180,3.141592653589793,0,0.0,0.0
0.30900001525878906,180,3.141592653589793,0,0.0,0.0
0.32400012016296387,180,3.141592653589793,0,0.0,0.0
0.3399999141693115,180,3.141592653589793,0,0.0,0.0
0.3559999465942383,180,3.141592653589793,0,0.0,0.0
0.372999906539917,180,3.141592653589793,0,0.0,0.0
0.3859999179840088,180,3.141592653589793,0,0.0,0.0
0.40199995040893555,180,3.141592653589793,0,0.0,0.0
0.4179999828338623,180,3.141592653589793,0,0.0,0.0
0.43400001525878906,180,3.141592653589793,0,0.0,0.0
0.4500000476837158,180,3.141592653589793,0,0.0,0.0
0.4660000801086426,180,3.141592653589793,0,0.0,0.0
0.4809999465942383,180,3.141592653589793,0,0.0,0.0
0.4960000514984131,180,3.141592653589793,0,0.0,0.0
0.5120000839233398,180,3.141592653589793,0,0.0,0.0
0.5269999504089355,180,3.141592653589793,0,0.0,0.0
0.5429999828338623,180,3.141592653589793,0,0.0,0.0
0.5580000877380371,180,3.141592653589793,0,0.0,0.0
0.5740001201629639,180,3.141592653589793,0,0.0,0.0
0.5889999866485596,180,3.141592653589793,0,0.0,0.0
0.6050000190734863,180,3.141592653589793,0,0.0,0.0
0.621999979019165,180,3.141592653589793,0,0.0,0.0
0.6370000839233398,180,3.141592653589793,0,0.0,0.0
0.6530001163482666,180,3.141592653589793,0,0.0,0.0
0.6689999103546143,180,3.141592653589793,0,0.0,0.0
0.6840000152587891,180,3.141592653589793,0,0.0,0.0
0.6990001201629639,180,3.141592653589793,0,0.0,0.0
0.7139999866485596,180,3.141592653589793,0,0.0,0.0
0.7300000190734863,180,3.141592653589793,0,0.0,0.0
0.7450001239776611,180,3.141592653589793,0,0.0,0.0
0.7609999179840088,180,3.141592653589793,0,0.0,0.0
0.7760000228881836,180,3.141592653589793,0,0.0,0.0
0.7910001277923584,180,3.141592653589793,0,0.0,0.0
0.806999921798706,180,3.141592653589793,0,0.0,0.0
0.8229999542236328,180,3.141592653589793,0,0.0,0.0
0.8380000591278076,180,3.141592653589793,0,0.0,0.0
0.8529999256134033,180,3.141592653589793,0,0.0,0.0
0.8680000305175781,180,3.141592653589793,0,0.0,0.0
0.8830001354217529,180,3.141592653589793,0,0.0,0.0
0.8980000019073486,180,3.141592653589793,0,0.0,0.0
0.9130001068115234,180,3.141592653589793,0,0.0,0.0
0.9289999008178711,180,3.141592653589793,0,0.0,0.0
0.9449999332427979,180,3.141592653589793,0,0.0,0.0
0.9600000381469727,180,3.141592653589793,0,0.0,0.0
0.9749999046325684,180,3.141592653589793,0,0.0,0.0
0.9900000095367432,180,3.141592653589793,0,0.0,0.0
1.00600004196167,180,3.141592653589793,0,0.0,0.0
1.0220000743865967,180,3.141592653589793,0,0.0,0.0
1.0380001068115234,180,3.141592653589793,0,0.0,0.0
1.0529999732971191,180,3.141592653589793,0,0.0,0.0
1.069000005722046,180,3.141592653589793,0,0.0,0.0
1.0829999446868896,180,3.141592653589793,0,0.0,0.0
1.0989999771118164,180,3.141592653589793,0,0.0,0.0
1.1150000095367432,180,3.141592653589793,0,0.0,0.0
1.130000114440918,180,3.141592653589793,0,0.0,0.0
1.1449999809265137,180,3.141592653589793,0,0.0,0.0
1.1600000858306885,180,3.141592653589793,0,0.0,0.0
1.1749999523162842,180,3.141592653589793,0,0.0,0.0
1.190999984741211,180,3.141592653589793,0,0.0,0.0
1.2070000171661377,180,3.141592653589793,0,0.0,0.0
1.2220001220703125,180,3.141592653589793,0,0.0,0.0
